Match Number,Round Number,Date,Location,Home Team,Away Team,Result
200,13,10/08/2025 20:00,College Park Center,Dallas Wings,Washington Mystics,78 - 91
202,13,10/08/2025 22:00,PHX Arena,Phoenix Mercury,Atlanta Dream,66 - 74
201,13,11/08/2025 00:00,Crypto.com Arena,Los Angeles Sparks,Seattle Storm,94 - 91
203,13,11/08/2025 01:00,Michelob ULTRA Arena,Las Vegas Aces,Connecticut Sun,94 - 86
204,13,12/08/2025 02:00,Chase Center,Golden State Valkyries,Connecticut Sun,74 - 57
205,13,12/08/2025 23:30,Gainbridge Fieldhouse,Indiana Fever,Dallas Wings,80 - 81
206,13,13/08/2025 02:00,Crypto.com Arena,Los Angeles Sparks,New York Liberty,97 - 105
207,13,13/08/2025 23:00,Mohegan Sun Arena,Connecticut Sun,Chicago Sky,71 - 62
208,13,13/08/2025 23:30,CareFirst Arena,Washington Mystics,Golden State Valkyries,83 - 88
209,13,14/08/2025 01:30,Michelob ULTRA Arena,Las Vegas Aces,New York Liberty,83 - 77
210,13,14/08/2025 02:00,Climate Pledge Arena,Seattle Storm,Atlanta Dream,75 - 85
211,14,15/08/2025 23:30,Gainbridge Fieldhouse,Indiana Fever,Washington Mystics,84 - 88
212,14,15/08/2025 23:30,Wintrust Arena,Chicago Sky,Golden State Valkyries,59 - 90
213,14,15/08/2025 23:30,College Park Center,Dallas Wings,Los Angeles Sparks,96 - 97
214,14,16/08/2025 02:00,Rogers Arena,Atlanta Dream,Seattle Storm,78 - 80
215,14,16/08/2025 02:00,PHX Arena,Phoenix Mercury,Las Vegas Aces,83 - 86
216,14,16/08/2025 18:00,Target Center,Minnesota Lynx,New York Liberty,86 - 80
218,14,17/08/2025 17:00,Mohegan Sun Arena,Connecticut Sun,Indiana Fever,93 - 99
217,14,17/08/2025 19:00,CareFirst Arena,Washington Mystics,Los Angeles Sparks,95 - 86
219,14,17/08/2025 19:30,Michelob ULTRA Arena,Las Vegas Aces,Dallas Wings,106 - 87
220,14,17/08/2025 22:00,Climate Pledge Arena,Seattle Storm,Phoenix Mercury,82 - 85
221,14,18/08/2025 00:30,Chase Center,Golden State Valkyries,Atlanta Dream,63 - 79
222,14,19/08/2025 23:00,Barclays Center,New York Liberty,Minnesota Lynx,85 - 75
223,14,19/08/2025 23:30,CareFirst Arena,Washington Mystics,Connecticut Sun,69 - 80
224,14,20/08/2025 00:00,Wintrust Arena,Chicago Sky,Seattle Storm,88 - 94
